16886528,16886783,TH,Thailand,Nan,Na Muen,18.19,100.65847
16886784,16887039,TH,Thailand,Chiang Mai,Chiang Mai,18.79038,98.98468
16887040,16887807,TH,Thailand,Chiang Rai,Pa Daet,19.5048,99.99243
16887808,16888063,TH,Thailand,Phra Nakhon Si Ayutthaya,Ban Bang Kadi Pathum Thani,13.99904,100.54962
16888064,16888319,TH,Thailand,Pathum Thani,Khlong Luang,14.06467,100.64578
16888320,16888575,TH,Thailand,Phra Nakhon Si Ayutthaya,Ban Bang Kadi Pathum Thani,13.99904,100.54962
16888576,16888831,TH,Thailand,Nonthaburi,Mueang Nonthaburi,13.86075,100.51477
16888832,16889343,TH,Thailand,Nakhon Ratchasima,Nakhon Ratchasima,14.97066,102.10196
16889344,16889599,TH,Thailand,Surin,Prasat,14.64039,103.40447
16889600,16889855,TH,Thailand,Surin,Surin,14.88181,103.49364
16889856,16890111,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16890112,16890367,TH,Thailand,Udon Thani,Sang Khom,17.82649,103.09262
16890368,16890623,TH,Thailand,Roi Et,Roi Et,16.0567,103.65309
16890624,16890879,TH,Thailand,Kalasin,Na Khu,16.76384,104.02626
16890880,16891135,TH,Thailand,Trat,Trat,12.24364,102.51514
16891136,16891391,TH,Thailand,Chanthaburi,Tha Mai,12.62137,102.0048
16891392,16891903,TH,Thailand,Krung Thep Maha Nakhon,Bangkok,13.75,100.51667
16891904,16892159,TH,Thailand,Nakhon Phanom,Na Kae,16.94644,104.50081
16892160,16892671,TH,Thailand,Udon Thani,Sang Khom,17.82649,103.09262
16892672,16892927,TH,Thailand,Nong Khai,Fao Rai,18.01792,103.30388
16892928,16893183,TH,Thailand,Khon Kaen,Phon,15.816,102.59981
16893184,16893439,TH,Thailand,Khon Kaen,Khon Kaen,16.44671,102.833
16893440,16893695,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16893696,16893951,TH,Thailand,Nong Khai,Tha Bo,17.85003,102.58139
16893952,16894207,TH,Thailand,Khon Kaen,Khon Kaen,16.44671,102.833
16894208,16894463,TH,Thailand,Sakon Nakhon,Phang Khon,17.3905,103.71692
16894464,16894719,TH,Thailand,Sakon Nakhon,Phon Na Kaeo,17.22122,104.28994
16894720,16894975,TH,Thailand,Udon Thani,Udon Thani,17.41567,102.78589
16894976,16895231,TH,Thailand,Sakon Nakhon,Sawang Daen Din,17.47531,103.45753
16895232,16895487,TH,Thailand,Loei,Loei,17.49052,101.72749
16895488,16895743,TH,Thailand,Udon Thani,Na Yung,17.89747,102.14981
16895744,16895999,TH,Thailand,Kalasin,Don Chan,16.45711,103.69558
16896000,16896255,TH,Thailand,Sakon Nakhon,Warichaphum,17.29409,103.63816
16896256,16896511,TH,Thailand,Sakon Nakhon,Wanon Niwat,17.63391,103.75241
